resuming from checkpoint at step 25000
corpus: 1,115,394 chars, vocab 65
will train for 2.0 hours with 8 workers

training...

step  26940 | loss  1.456 |  91.7 min left
step  26950 | loss  1.462 |  91.6 min left
step  26960 | loss  1.462 |  91.4 min left
step  26970 | loss  1.503 |  91.3 min left
step  26980 | loss  1.482 |  91.1 min left
step  26990 | loss  1.479 |  91.0 min left
step  27000 | loss  1.453 |  90.9 min left

--- sample ---
KING RICHARD III:
Come them, where this weak of my dispiter.

GREN:
I prile thee, but remembray his need?

MENENIUS:
I will so foole: the souls, drinking?

DUKE OF YORK:
Lord me, became as the bond! then with the light of the virtuous before you,
As this time at the wind hath the wings,
Whose limedg
--- end ---

step  27010 | loss  1.467 |  90.0 min left
step  27020 | loss  1.458 |  89.9 min left
step  27030 | loss  1.463 |  89.8 min left
step  27040 | loss  1.455 |  89.6 min left
step  27050 | loss  1.474 |  89.5 min left
step  27060 | loss  1.507 |  89.3 min left
step  27070 | loss  1.478 |  89.2 min left
step  27080 | loss  1.437 |  89.1 min left
step  27090 | loss  1.491 |  88.9 min left
step  27100 | loss  1.454 |  88.8 min left
step  27110 | loss  1.485 |  88.7 min left
step  27120 | loss  1.449 |  88.5 min left
step  27130 | loss  1.462 |  88.4 min left
step  27140 | loss  1.465 |  88.3 min left
step  27150 | loss  1.419 |  88.1 min left
step  27160 | loss  1.452 |  88.0 min left
step  27170 | loss  1.427 |  87.9 min left
step  27180 | loss  1.496 |  87.7 min left
step  27190 | loss  1.488 |  87.6 min left
step  27200 | loss  1.487 |  87.4 min left
step  27210 | loss  1.450 |  87.3 min left
step  27220 | loss  1.442 |  87.2 min left
step  27230 | loss  1.473 |  87.0 min left
step  27240 | loss  1.469 |  86.9 min left
step  27250 | loss  1.504 |  86.8 min left
step  27260 | loss  1.488 |  86.6 min left
step  27270 | loss  1.464 |  86.5 min left
step  27280 | loss  1.491 |  86.4 min left
step  27290 | loss  1.449 |  86.2 min left
step  27300 | loss  1.448 |  86.1 min left
step  27310 | loss  1.443 |  86.0 min left
step  27320 | loss  1.502 |  85.8 min left
step  27330 | loss  1.470 |  85.7 min left
step  27340 | loss  1.462 |  85.5 min left
step  27350 | loss  1.426 |  85.4 min left
step  27360 | loss  1.436 |  85.3 min left
step  27370 | loss  1.488 |  85.1 min left
step  27380 | loss  1.451 |  85.0 min left
step  27390 | loss  1.410 |  84.9 min left
step  27400 | loss  1.435 |  84.7 min left
step  27410 | loss  1.470 |  84.6 min left
step  27420 | loss  1.479 |  84.4 min left
step  27430 | loss  1.464 |  84.3 min left
step  27440 | loss  1.500 |  84.2 min left
step  27450 | loss  1.452 |  84.0 min left
step  27460 | loss  1.501 |  83.9 min left
step  27470 | loss  1.422 |  83.8 min left
step  27480 | loss  1.406 |  83.6 min left
step  27490 | loss  1.460 |  83.5 min left
step  27500 | loss  1.475 |  83.3 min left
step  27510 | loss  1.450 |  83.2 min left
step  27520 | loss  1.479 |  83.1 min left
