corpus     : 1,115,394 characters, vocab 65
model      : 4 layers, 4 heads, 128 dim
parallelism: 8 workers x 3 sequences = batch 24

parameters : 142 tensors

training...

step  1480/25000 | loss  2.018 |  1.14 steps/s | ETA 345.3 min
step  1490/25000 | loss  1.999 |  1.14 steps/s | ETA 345.1 min
step  1500/25000 | loss  2.021 |  1.14 steps/s | ETA 345.0 min
step  1510/25000 | loss  2.050 |  1.14 steps/s | ETA 344.8 min
step  1520/25000 | loss  2.031 |  1.14 steps/s | ETA 344.7 min
step  1530/25000 | loss  1.985 |  1.14 steps/s | ETA 344.5 min
step  1540/25000 | loss  2.004 |  1.14 steps/s | ETA 344.4 min
step  1550/25000 | loss  2.032 |  1.14 steps/s | ETA 344.2 min
step  1560/25000 | loss  1.994 |  1.14 steps/s | ETA 344.0 min
step  1570/25000 | loss  1.972 |  1.14 steps/s | ETA 343.8 min
step  1580/25000 | loss  1.955 |  1.14 steps/s | ETA 343.7 min
step  1590/25000 | loss  1.961 |  1.14 steps/s | ETA 343.5 min
step  1600/25000 | loss  1.973 |  1.14 steps/s | ETA 343.3 min
step  1610/25000 | loss  1.973 |  1.14 steps/s | ETA 343.2 min
step  1620/25000 | loss  1.969 |  1.14 steps/s | ETA 343.0 min
step  1630/25000 | loss  1.971 |  1.14 steps/s | ETA 342.8 min
step  1640/25000 | loss  1.992 |  1.14 steps/s | ETA 342.7 min
step  1650/25000 | loss  1.972 |  1.14 steps/s | ETA 342.5 min
step  1660/25000 | loss  1.973 |  1.14 steps/s | ETA 342.4 min
step  1670/25000 | loss  1.935 |  1.14 steps/s | ETA 342.2 min
step  1680/25000 | loss  1.928 |  1.14 steps/s | ETA 342.0 min
step  1690/25000 | loss  1.988 |  1.14 steps/s | ETA 341.8 min
step  1700/25000 | loss  1.992 |  1.14 steps/s | ETA 341.6 min
step  1710/25000 | loss  1.929 |  1.14 steps/s | ETA 341.5 min
step  1720/25000 | loss  1.924 |  1.14 steps/s | ETA 341.3 min
step  1730/25000 | loss  1.991 |  1.14 steps/s | ETA 341.1 min
step  1740/25000 | loss  1.997 |  1.14 steps/s | ETA 340.9 min
step  1750/25000 | loss  1.959 |  1.14 steps/s | ETA 340.8 min
step  1760/25000 | loss  1.964 |  1.14 steps/s | ETA 340.6 min
step  1770/25000 | loss  1.954 |  1.14 steps/s | ETA 340.4 min
step  1780/25000 | loss  1.960 |  1.14 steps/s | ETA 340.3 min
step  1790/25000 | loss  1.996 |  1.14 steps/s | ETA 340.1 min
step  1800/25000 | loss  1.948 |  1.14 steps/s | ETA 339.9 min
step  1810/25000 | loss  1.929 |  1.14 steps/s | ETA 339.8 min
step  1820/25000 | loss  1.900 |  1.14 steps/s | ETA 339.6 min
step  1830/25000 | loss  1.936 |  1.14 steps/s | ETA 339.5 min
step  1840/25000 | loss  1.934 |  1.14 steps/s | ETA 339.4 min
step  1850/25000 | loss  1.912 |  1.14 steps/s | ETA 339.2 min
step  1860/25000 | loss  1.925 |  1.14 steps/s | ETA 339.0 min
step  1870/25000 | loss  1.966 |  1.14 steps/s | ETA 338.8 min
step  1880/25000 | loss  1.941 |  1.14 steps/s | ETA 338.6 min
step  1890/25000 | loss  1.939 |  1.14 steps/s | ETA 338.4 min
step  1900/25000 | loss  1.923 |  1.14 steps/s | ETA 338.2 min
step  1910/25000 | loss  1.928 |  1.14 steps/s | ETA 338.1 min
step  1920/25000 | loss  1.949 |  1.14 steps/s | ETA 337.9 min
step  1930/25000 | loss  1.920 |  1.14 steps/s | ETA 337.7 min
step  1940/25000 | loss  1.893 |  1.14 steps/s | ETA 337.5 min
step  1950/25000 | loss  1.897 |  1.14 steps/s | ETA 337.4 min
step  1960/25000 | loss  1.893 |  1.14 steps/s | ETA 337.2 min
step  1970/25000 | loss  1.908 |  1.14 steps/s | ETA 337.0 min
step  1980/25000 | loss  1.920 |  1.14 steps/s | ETA 336.8 min
step  1990/25000 | loss  1.915 |  1.14 steps/s | ETA 336.6 min
step  2000/25000 | loss  1.922 |  1.14 steps/s | ETA 336.5 min

--- sample ---
OLIZABETH:
The heave in withat's mairest shis shalll weere pooosinessour centery
If laspealing graianstor now of Moraicion,
Wew truepoooraciis of ich nare a ormentless are at
Arven un atcond it the pousest of to great,
Be hare fore to the beace the an's alll pried.


Provoinos it
--- end ---

step  2010/25000 | loss  1.915 |  1.11 steps/s | ETA 343.7 min
step  2020/25000 | loss  1.946 |  1.12 steps/s | ETA 343.4 min
step  2030/25000 | loss  1.977 |  1.12 steps/s | ETA 343.1 min
step  2040/25000 | loss  1.941 |  1.12 steps/s | ETA 342.8 min
step  2050/25000 | loss  1.906 |  1.12 steps/s | ETA 342.5 min
step  2060/25000 | loss  1.876 |  1.12 steps/s | ETA 342.2 min
step  2070/25000 | loss  1.893 |  1.12 steps/s | ETA 341.9 min
step  2080/25000 | loss  1.881 |  1.12 steps/s | ETA 341.6 min
step  2090/25000 | loss  1.909 |  1.12 steps/s | ETA 341.3 min
step  2100/25000 | loss  1.926 |  1.12 steps/s | ETA 341.0 min
step  2110/25000 | loss  1.930 |  1.12 steps/s | ETA 340.8 min
step  2120/25000 | loss  1.930 |  1.12 steps/s | ETA 340.5 min
step  2130/25000 | loss  1.889 |  1.12 steps/s | ETA 340.3 min
step  2140/25000 | loss  1.857 |  1.12 steps/s | ETA 340.0 min
step  2150/25000 | loss  1.894 |  1.12 steps/s | ETA 339.7 min
step  2160/25000 | loss  1.926 |  1.12 steps/s | ETA 339.5 min
step  2170/25000 | loss  1.891 |  1.12 steps/s | ETA 339.3 min
step  2180/25000 | loss  1.895 |  1.12 steps/s | ETA 339.0 min
step  2190/25000 | loss  1.909 |  1.12 steps/s | ETA 338.8 min
step  2200/25000 | loss  1.891 |  1.12 steps/s | ETA 338.5 min
step  2210/25000 | loss  1.862 |  1.12 steps/s | ETA 338.3 min
step  2220/25000 | loss  1.900 |  1.12 steps/s | ETA 338.1 min
step  2230/25000 | loss  1.906 |  1.12 steps/s | ETA 337.9 min
step  2240/25000 | loss  1.897 |  1.12 steps/s | ETA 337.7 min
step  2250/25000 | loss  1.899 |  1.12 steps/s | ETA 337.5 min
step  2260/25000 | loss  1.910 |  1.12 steps/s | ETA 337.3 min
step  2270/25000 | loss  1.963 |  1.12 steps/s | ETA 337.1 min
step  2280/25000 | loss  1.872 |  1.12 steps/s | ETA 336.9 min
step  2290/25000 | loss  1.884 |  1.12 steps/s | ETA 336.7 min
step  2300/25000 | loss  1.870 |  1.12 steps/s | ETA 336.5 min
step  2310/25000 | loss  1.852 |  1.12 steps/s | ETA 336.3 min
step  2320/25000 | loss  1.857 |  1.12 steps/s | ETA 336.1 min
step  2330/25000 | loss  1.862 |  1.12 steps/s | ETA 335.9 min
step  2340/25000 | loss  1.889 |  1.13 steps/s | ETA 335.7 min
step  2350/25000 | loss  1.860 |  1.13 steps/s | ETA 335.5 min
step  2360/25000 | loss  1.852 |  1.13 steps/s | ETA 335.3 min
step  2370/25000 | loss  1.890 |  1.13 steps/s | ETA 335.1 min
step  2380/25000 | loss  1.865 |  1.13 steps/s | ETA 334.9 min
step  2390/25000 | loss  1.816 |  1.13 steps/s | ETA 334.7 min
step  2400/25000 | loss  1.868 |  1.13 steps/s | ETA 334.5 min
step  2410/25000 | loss  1.846 |  1.13 steps/s | ETA 334.4 min
step  2420/25000 | loss  1.881 |  1.13 steps/s | ETA 334.2 min
step  2430/25000 | loss  1.846 |  1.13 steps/s | ETA 334.0 min
step  2440/25000 | loss  1.818 |  1.13 steps/s | ETA 333.8 min
step  2450/25000 | loss  1.838 |  1.13 steps/s | ETA 333.6 min
step  2460/25000 | loss  1.824 |  1.13 steps/s | ETA 333.4 min
step  2470/25000 | loss  1.884 |  1.13 steps/s | ETA 333.3 min
step  2480/25000 | loss  1.848 |  1.13 steps/s | ETA 333.1 min
step  2490/25000 | loss  1.855 |  1.13 steps/s | ETA 332.9 min
step  2500/25000 | loss  1.862 |  1.13 steps/s | ETA 332.7 min
step  2510/25000 | loss  1.872 |  1.13 steps/s | ETA 332.5 min
step  2520/25000 | loss  1.867 |  1.13 steps/s | ETA 332.4 min
step  2530/25000 | loss  1.865 |  1.13 steps/s | ETA 332.2 min
step  2540/25000 | loss  1.900 |  1.13 steps/s | ETA 332.0 min
step  2550/25000 | loss  1.878 |  1.13 steps/s | ETA 331.8 min
step  2560/25000 | loss  1.886 |  1.13 steps/s | ETA 331.7 min
step  2570/25000 | loss  1.882 |  1.13 steps/s | ETA 331.5 min
step  2580/25000 | loss  1.824 |  1.13 steps/s | ETA 331.3 min
step  2590/25000 | loss  1.847 |  1.13 steps/s | ETA 331.1 min
step  2600/25000 | loss  1.853 |  1.13 steps/s | ETA 331.0 min
step  2610/25000 | loss  1.848 |  1.13 steps/s | ETA 330.8 min
step  2620/25000 | loss  1.861 |  1.13 steps/s | ETA 330.6 min
step  2630/25000 | loss  1.823 |  1.13 steps/s | ETA 330.5 min
step  2640/25000 | loss  1.852 |  1.13 steps/s | ETA 330.3 min
step  2650/25000 | loss  1.857 |  1.13 steps/s | ETA 330.1 min
step  2660/25000 | loss  1.870 |  1.13 steps/s | ETA 329.9 min
step  2670/25000 | loss  1.809 |  1.13 steps/s | ETA 329.7 min
step  2680/25000 | loss  1.800 |  1.13 steps/s | ETA 329.6 min
step  2690/25000 | loss  1.842 |  1.13 steps/s | ETA 329.4 min
